id;emp_system;emp_reason;emp_user;emp_is_active;emp_date_start;emp_date_end
1;digital Algerian Dinar;Designer;multimedia Iceland Krona;true;2021-03-04T20:30:23;2021-03-04T15:12:52
2;Human feed;Granite Honduras;Ecuador Money Market Account;false;2021-03-04T23:01:38;2021-03-04T13:00:23
3;Coordinator strategy Rand;Grocery Identity;Oregon;false;2021-03-04T23:24:54;2021-03-04T14:38:59
4;mint green connecting Convertible Marks;expedite;clear-thinking Unbranded interfaces;true;2021-03-04T23:05:19;2021-03-05T06:47:13
5;Auto Loan Account Response;Baby Peru Up-sized;bus transmitting;false;2021-03-05T01:26:05;2021-03-05T00:29:23
6;Wooden;deposit Handcrafted;Mississippi;true;2021-03-05T05:01:20;2021-03-04T14:26:15
7;generate invoice;Cambridgeshire Bacon Glens;Salad Nakfa architectures;true;2021-03-04T15:52:17;2021-03-05T02:57:37
8;Orchestrator;quantifying;Guyana Dollar tan portals;true;2021-03-05T01:25:52;2021-03-05T05:32:26
9;Proactive;Expressway Sports Principal;solid state Bedfordshire;true;2021-03-04T13:20:03;2021-03-04T18:51:37
10;connecting mission-critical payment;Handcrafted Steel Ball Fresh;Books;true;2021-03-04T23:04:24;2021-03-04T18:53:41
