id;ins_number;ins_date;ins_customs_office;ins_user;ins_sys_date;ins_type
1;24/7 Mississippi;2021-03-05T04:49:35;hack;protocol hacking Swiss Franc;2021-03-04T12:20:29;payment
2;red cyan;2021-03-04T19:04:32;firewall;XSS;2021-03-05T01:55:19;Automated Auto Loan Account Tasty
3;indigo solid state Human;2021-03-04T23:58:43;Tunisia Utah Antarctica (the territory South of 60 deg S);deposit embrace interface;2021-03-04T22:32:22;Agent pricing structure haptic
4;context-sensitive;2021-03-05T00:02:16;Adaptive Avon;unleash;2021-03-04T12:49:32;multi-byte Berkshire lime
5;index Texas haptic;2021-03-04T20:17:43;out-of-the-box Kentucky Myanmar;Alaska reboot;2021-03-04T21:02:23;system
6;Small Soft Chicken Glen;2021-03-05T00:00:25;card;Analyst Accounts Cambridgeshire;2021-03-05T11:45:37;Towels
7;Tools Auto Loan Account ROI;2021-03-04T20:09:39;Sri Lanka Rupee ability Auto Loan Account;Intelligent Granite Keyboard;2021-03-04T19:44:49;Switchable Multi-lateral
8;object-oriented;2021-03-05T06:07:04;Pizza user-facing;Principal Orchestrator;2021-03-05T09:45:01;Gloves International
9;Response engage Handmade;2021-03-05T02:46:03;Data deposit Shoes;Auto Loan Account program;2021-03-04T12:44:20;Soft
10;Chips Bedfordshire Tonga;2021-03-04T23:53:21;invoice Bermudian Dollar (customarily known as Bermuda Dollar) Auto Loan Account;matrix Direct;2021-03-04T17:59:00;Avon
