id;slc_name;slc_lock_until;slc_locked_at;slc_locked_by
1;HDD;2021-03-05T03:32:34;2021-03-05T06:49:42;Markets alarm 24 hour
2;green;2021-03-05T05:17:44;2021-03-04T12:59:50;Handmade Beauty
3;sky blue Movies extend;2021-03-04T20:38:42;2021-03-05T01:55:38;24/7 Borders
4;Handmade synthesizing;2021-03-05T01:55:24;2021-03-05T10:05:24;web-enabled
5;Seamless;2021-03-05T09:02:06;2021-03-05T02:15:10;productivity
6;Cotton connect;2021-03-05T11:44:39;2021-03-05T12:03:10;quantifying South Dakota Brook
7;action-items Table Home;2021-03-04T20:37:43;2021-03-04T14:40:22;Wisconsin Tanzania
8;Human;2021-03-05T06:39:55;2021-03-04T19:06:23;Benin Quality
9;Savings Account back up GB;2021-03-05T02:27:18;2021-03-05T02:19:18;hack Planner
10;silver Borders technologies;2021-03-04T21:12:19;2021-03-04T13:31:43;Integrated
