id;trn_number;trn_date;trn_system;trn_amount;trn_creation_date;trn_sys_date;trn_created_by;trn_type;trn_code;trn_status;trn_description;trn_payment_type
1;Kentucky;2021-03-05T04:54:24;Gorgeous;61420;2021-03-05T00:43:05;2021-03-05T08:06:03;COM Representative empowering;US Dollar;Buckinghamshire orchestrate grow;Kids;disintermediate Garden Haiti;Strategist Innovative Fresh
2;mission-critical;2021-03-05T09:21:02;Executive Automotive;53629;2021-03-04T20:52:50;2021-03-04T21:49:05;Zimbabwe Executive back up;compressing interface;invoice;next-generation incentivize;high-level Small Assistant;grey Gourde US Dollar 4th generation
3;Licensed Awesome;2021-03-04T23:40:28;Pizza JBOD;84148;2021-03-04T14:29:25;2021-03-05T02:34:08;withdrawal Ergonomic;innovate;Shirt;transmit;Bacon optical;olive IB
4;Alabama;2021-03-04T18:41:16;full-range capacitor invoice;27839;2021-03-05T11:03:23;2021-03-04T21:57:45;Personal Loan Account connect;Pizza Forward Montana;hard drive optical;Avon;Svalbard & Jan Mayen Islands Group;Architect even-keeled Planner
5;Denar;2021-03-05T05:43:03;applications SMTP;1477;2021-03-04T12:24:47;2021-03-04T19:30:50;Producer;Awesome Personal Loan Account;Sleek Cotton Salad Dynamic calculating;Intelligent Concrete Chair Global;Towels;sky blue
6;CFA Franc BEAC ADP;2021-03-05T07:03:14;Health;19495;2021-03-05T07:33:44;2021-03-04T18:35:46;withdrawal;Industrial Botswana;withdrawal synergies;digital Pitcairn Islands International;New Mexico;software Berkshire Pants
7;overriding solid state Cambridgeshire;2021-03-04T18:36:33;Hat Assistant;94129;2021-03-05T05:46:48;2021-03-04T18:37:14;Rubber Tuna;maroon Malagasy Ariary Gloves;Morocco B2C Consultant;value-added AI Peso Uruguayo Uruguay Peso en Unidades Indexadas;parse initiatives Concrete;Health Division
8;Global;2021-03-05T03:01:42;cross-platform User-friendly Planner;50941;2021-03-04T23:30:05;2021-03-05T01:47:00;Kids Direct back-end;monitoring override mobile;Mississippi Delaware;Wooden;back-end Rustic enable;copy empowering Diverse
9;Uruguay Oregon Home;2021-03-05T08:26:31;Sleek;5618;2021-03-04T16:57:49;2021-03-04T18:09:33;bus Arkansas feed;synthesize Gold Buckinghamshire;transform back-end International;productize Austria;array Beauty matrix;index Money Market Account Computers
10;Utah;2021-03-04T16:38:25;bluetooth;32657;2021-03-05T06:19:13;2021-03-05T05:47:53;conglomeration;bandwidth AGP;Shore;B2C;Legacy;3rd generation compress e-markets
